"name","link","values_string"
Agent_Download_mass,EKHnZ1Ouy,https://myais.ais.co.th/openMyAISApp?scheme=Home
AIS App (Privileges),"8yHgMMuO",https://myais.ais.co.th/openMyAISApp?scheme=Home
AIS Now_home,EKHzLWqfy,https://myais.ais.co.th
AIS Original Blog,n1HjlPxiq,https://myais.ais.co.th/login?returnUrl=%2Fservices%2Fe-statement%3Flang%3DTH
AIS paruay_2022,"9WHVpQaUG",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FListSmallMerchant
AIS Points Campaign NOV2020,"4RHzwomu8",https://myais.ais.co.th/openMyAISApp?scheme=Live360
AIS Points Campaign NOV2020,ApHnB9pU8,https://myais.ais.co.th/openMyAISApp?scheme=Live360
AIS Points Campaign NOV2020,KYHo4aDHx,https://myais.ais.co.th/openMyAISApp?scheme=Live360
AIS Points Campaign NOV2020,QYH0n3MSx,https://myais.ais.co.th/openMyAISApp?scheme=Live360
AIS Points Line sticker jan 2021,aWHmGPMCM,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D525
AIS Points_Rich Menu Sticker_2-6Jan2021,MYH4MgpFd,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D525
All Game New Year 2021,"111emagNYgame",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,AllGameFB,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,AllgameMMS1,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,AllGameMMSinact,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,GameNYLineMsg,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,GameNYLineTL,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game Revise,emagAllGame21,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
Aunjai Check In,CheckInKOL,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcheckin
Aunjai Check In,CheckInMMs2,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcheckin
Aunjai Check In,CheckInMybanner,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcheckin
BannerOTCPC_myAISweb_160421,bnHqKvpFV,https://myais.ais.co.th/openMyAISApp?scheme=Home?cid=bannerWebOTCPC-myAISWeb-apr21
BRAND_DISNEY_MARCH22,"4RHOdxlT8",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FWebview%3Furl%3Dhttps%3A%2F%2Fm.ais.co.th%2FxxHjVPnH2?cid=myais_banner-DisneyMarch-mar10-story
BRAND_DISNEY_MARCH22,KYHzyBaCx,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FWebview%3Furl%3Dhttps%3A%2F%2Fm.ais.co.th%2FRbH9ValhE?cid=myais_banner-DisneyMarch-mar10-story
